MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;wape;val_mse;val_rmse;val_nrmse;val_mae;val_wape;loss;val_loss
DCCNN_Model_1;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32]];24;168;256;50;527036.234343939;725.9726126679566;0.07955864248415963;376.8138084745036;0.29441986983742197;579004.5874807071;760.9235096123047;0.08445321971279741;403.5653883098089;0.2795479505971656;[0.13117706775665283, 0.08792759478092194, 0.05899721756577492, 0.05373112112283707, 0.05104023218154907, 0.04917405545711517, 0.047996316105127335, 0.046813447028398514, 0.04603736475110054, 0.045250773429870605, 0.04478893056511879, 0.04432579502463341, 0.044110946357250214, 0.04399704188108444, 0.04352855682373047, 0.043807875365018845, 0.04347729682922363, 0.04318728670477867, 0.04320080578327179, 0.04304945841431618, 0.042793210595846176, 0.0427786260843277, 0.04264334961771965, 0.04263972491025925, 0.042431458830833435, 0.042569808661937714, 0.042500466108322144, 0.042232971638441086, 0.0421113595366478, 0.04217211529612541, 0.04208691790699959, 0.04203975573182106, 0.04185564070940018, 0.04192647337913513, 0.04185423254966736, 0.04181813448667526, 0.0418107733130455, 0.04182249680161476, 0.04180354252457619, 0.04163070023059845, 0.04146425053477287, 0.041541121900081635, 0.04139946028590202, 0.04135781154036522, 0.041573572903871536, 0.041431792080402374, 0.04138227552175522, 0.04145841673016548, 0.041430480778217316, 0.041203875094652176];[0.16304342448711395, 0.077903613448143, 0.06730668991804123, 0.06065753102302551, 0.0585361085832119, 0.05660087615251541, 0.05680309236049652, 0.055264316499233246, 0.05594997480511665, 0.05392815172672272, 0.05385245755314827, 0.05583127588033676, 0.05465613305568695, 0.05252492427825928, 0.0510273315012455, 0.052268411964178085, 0.05203912407159805, 0.05409203842282295, 0.04961065575480461, 0.05017537996172905, 0.050340116024017334, 0.050815947353839874, 0.04978026822209358, 0.04901926964521408, 0.05000028386712074, 0.04920653998851776, 0.05080421641469002, 0.05080419406294823, 0.049960359930992126, 0.048887159675359726, 0.04927036166191101, 0.048978447914123535, 0.048392150551080704, 0.04864882677793503, 0.048079878091812134, 0.048885636031627655, 0.049114126712083817, 0.04795747995376587, 0.048209670931100845, 0.04814494028687477, 0.04748944565653801, 0.04858078807592392, 0.048649586737155914, 0.04789143428206444, 0.04752572625875473, 0.04939818009734154, 0.047941312193870544, 0.048105236142873764, 0.04837888851761818, 0.0479474738240242]
DCCNN_Model_2;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32, 64]];24;168;256;50;495356.3998928126;703.8156007739617;0.07713047679714649;361.3387570748697;0.28232858624764895;548699.413824008;740.7424746995463;0.08221337122081535;388.37663916729565;0.26902677158152494;[0.13337227702140808, 0.08553595095872879, 0.05899829789996147, 0.053635794669389725, 0.05040894076228142, 0.04839051514863968, 0.04676300287246704, 0.04588005319237709, 0.044813256710767746, 0.044098224490880966, 0.04361100494861603, 0.04314509034156799, 0.04348761960864067, 0.042905379086732864, 0.04249041527509689, 0.04256898909807205, 0.042356833815574646, 0.04242197796702385, 0.042302004992961884, 0.042002614587545395, 0.041933536529541016, 0.041939981281757355, 0.041746191680431366, 0.04146352410316467, 0.04151067137718201, 0.041626326739788055, 0.04144475609064102, 0.04126858338713646, 0.04144981503486633, 0.04122807830572128, 0.04128733277320862, 0.04115644469857216, 0.04109136387705803, 0.041027702391147614, 0.040936700999736786, 0.04108783230185509, 0.040947504341602325, 0.04084732010960579, 0.040915727615356445, 0.04098070040345192, 0.04087572172284126, 0.040972888469696045, 0.04074305295944214, 0.0407838299870491, 0.04057445377111435, 0.040525246411561966, 0.04060903191566467, 0.04058826342225075, 0.040759190917015076, 0.0405922457575798];[0.1522149294614792, 0.07342848926782608, 0.06395120173692703, 0.05691399797797203, 0.055127400904893875, 0.055882323533296585, 0.052831362932920456, 0.0513620600104332, 0.050290998071432114, 0.049223896116018295, 0.0506255179643631, 0.0502382330596447, 0.048493534326553345, 0.05348294600844383, 0.049935486167669296, 0.04842119663953781, 0.047240376472473145, 0.04822418838739395, 0.04952828213572502, 0.04899447038769722, 0.04911371320486069, 0.047928839921951294, 0.048628389835357666, 0.04799056798219681, 0.0480407178401947, 0.046387821435928345, 0.04728471487760544, 0.04612630978226662, 0.0482209213078022, 0.048192113637924194, 0.04717515781521797, 0.0461728535592556, 0.04630249738693237, 0.04735496640205383, 0.04778127744793892, 0.04741847515106201, 0.0461110956966877, 0.04594849795103073, 0.046806346625089645, 0.04672978073358536, 0.045982059091329575, 0.04744028300046921, 0.04882202669978142, 0.04608851671218872, 0.048290666192770004, 0.04721102491021156, 0.04581416770815849, 0.04582373797893524, 0.046734631061553955, 0.04626993089914322]
DCCNN_Model_4;[(168, 6), 24, 128, 2, 4, [1, 2, 4, 8, 16, 32]];24;168;256;50;496579.99137204746;704.6843203676717;0.07722567894440238;365.8014130792925;0.2858154398883649;549112.2846317897;741.0211094373693;0.08224429627495775;396.37944002874497;0.2745702761650695;[0.13625869154930115, 0.08313498646020889, 0.058982450515031815, 0.05328670144081116, 0.05041744187474251, 0.04855303838849068, 0.04725928604602814, 0.046499717980623245, 0.04571554809808731, 0.045200593769550323, 0.04494316875934601, 0.04424299672245979, 0.04409059137105942, 0.04384557530283928, 0.043628301471471786, 0.043481238186359406, 0.04311772808432579, 0.043112486600875854, 0.04297446459531784, 0.042710836976766586, 0.04249626398086548, 0.04235215485095978, 0.042431849986314774, 0.04240439832210541, 0.04233580082654953, 0.04217062518000603, 0.04200796037912369, 0.04215100035071373, 0.042204637080430984, 0.042013783007860184, 0.04185105860233307, 0.04171313717961311, 0.041784532368183136, 0.04154691845178604, 0.041684821248054504, 0.04168916493654251, 0.04170979931950569, 0.04152335226535797, 0.041334785521030426, 0.04132329300045967, 0.04143362119793892, 0.04141390696167946, 0.0413314588367939, 0.04117142781615257, 0.041453175246715546, 0.04126696288585663, 0.04107900708913803, 0.041288942098617554, 0.04108187183737755, 0.041110292077064514];[0.16108067333698273, 0.07806626707315445, 0.06311480700969696, 0.06036531552672386, 0.057352252304553986, 0.055396668612957, 0.054495714604854584, 0.05347813665866852, 0.0558742992579937, 0.052362117916345596, 0.05271138250827789, 0.053769711405038834, 0.05228569358587265, 0.05091094970703125, 0.052521251142024994, 0.05133799463510513, 0.05036025866866112, 0.050202615559101105, 0.051142048090696335, 0.05321251600980759, 0.048816148191690445, 0.052022192627191544, 0.049332696944475174, 0.049661289900541306, 0.04961958900094032, 0.050509944558143616, 0.05081787705421448, 0.04840913787484169, 0.048451051115989685, 0.04973288252949715, 0.04896647483110428, 0.04827142879366875, 0.05009082704782486, 0.04969565197825432, 0.046784378588199615, 0.04866736754775047, 0.051673516631126404, 0.04789131134748459, 0.050114117562770844, 0.047735001891851425, 0.048056621104478836, 0.04948052018880844, 0.04741072654724121, 0.048676129430532455, 0.04849925637245178, 0.04894043505191803, 0.0482248030602932, 0.05117996409535408, 0.048914797604084015, 0.04771989583969116]
DCCNN_Model_5;[(168, 6), 24, 128, 2, 4, [1, 2, 4, 8, 16, 32, 64]];24;168;256;50;519220.1239029348;720.5693054126957;0.07896649922330912;371.5097633405285;0.2902756048374772;578879.6093040474;760.8413824865518;0.08444410460450075;398.29457846821475;0.2758968840491248;[0.13098955154418945, 0.0746069848537445, 0.06096438691020012, 0.05531276762485504, 0.05197669193148613, 0.049826350063085556, 0.04819735512137413, 0.047129735350608826, 0.04623277857899666, 0.04569089785218239, 0.04523264616727829, 0.04482511430978775, 0.04455561935901642, 0.04420289024710655, 0.043920550495386124, 0.04378104582428932, 0.04345407709479332, 0.04338528588414192, 0.04311783239245415, 0.043114710599184036, 0.043336354196071625, 0.0428096204996109, 0.04293102025985718, 0.04283781349658966, 0.04255463182926178, 0.04256335273385048, 0.04274233430624008, 0.042586468160152435, 0.04256143048405647, 0.04228176549077034, 0.04224502667784691, 0.04224192351102829, 0.04220220074057579, 0.042172107845544815, 0.04220087453722954, 0.04203004762530327, 0.042025718837976456, 0.04197053238749504, 0.042174506932497025, 0.04194541648030281, 0.0419253446161747, 0.041878748685121536, 0.041823744773864746, 0.04200360178947449, 0.04169507324695587, 0.04166929051280022, 0.04163292050361633, 0.04147615283727646, 0.04168303310871124, 0.04167087748646736];[0.11386574059724808, 0.07987600564956665, 0.06435537338256836, 0.06218009442090988, 0.05732134357094765, 0.05599997192621231, 0.05434019863605499, 0.05235975608229637, 0.05392300337553024, 0.05084576830267906, 0.05147533863782883, 0.052510883659124374, 0.051051054149866104, 0.051051732152700424, 0.04938856512308121, 0.04855501279234886, 0.050682276487350464, 0.050532322376966476, 0.04916418343782425, 0.048699211329221725, 0.04879111051559448, 0.048659294843673706, 0.04724806174635887, 0.04987429454922676, 0.048741746693849564, 0.04866306483745575, 0.048052795231342316, 0.047880202531814575, 0.05014190822839737, 0.0482214093208313, 0.04891572520136833, 0.04859689250588417, 0.049102555960416794, 0.04705805703997612, 0.052324358373880386, 0.04907744750380516, 0.04859309270977974, 0.04942305013537407, 0.04932262375950813, 0.048928458243608475, 0.04873942956328392, 0.05136656388640404, 0.04731810465455055, 0.04907532036304474, 0.047704700380563736, 0.04829888790845871, 0.04818040505051613, 0.04718403145670891, 0.046961501240730286, 0.0478653609752655]
DCCNN_Model_7;[(168, 6), 24, 128, 3, 3, [1, 2, 4, 8, 16, 32]];24;168;256;50;498786.4495867126;706.2481501474624;0.07739705755040684;363.06894545440247;0.2836804524108305;546337.6755478979;739.1465859678294;0.08203624705525299;388.4160546103703;0.26905407448373747;[0.13597054779529572, 0.07066477835178375, 0.0563967265188694, 0.052367791533470154, 0.049841444939374924, 0.04789460822939873, 0.046595267951488495, 0.045697372406721115, 0.0449993871152401, 0.04430543631315231, 0.04418318346142769, 0.043951816856861115, 0.043685413897037506, 0.04335062578320503, 0.043181873857975006, 0.043098174035549164, 0.04307970032095909, 0.04298765957355499, 0.042928360402584076, 0.04262779653072357, 0.04250282794237137, 0.04236772283911705, 0.042021192610263824, 0.042109567672014236, 0.042012277990579605, 0.042040273547172546, 0.041932765394449234, 0.04157380387187004, 0.041560281068086624, 0.04139328747987747, 0.04137813299894333, 0.04142920672893524, 0.04131694510579109, 0.04139558970928192, 0.04122385382652283, 0.041144564747810364, 0.041154954582452774, 0.04118415713310242, 0.041089337319135666, 0.04094274714589119, 0.04093411937355995, 0.040969785302877426, 0.04102976620197296, 0.040974244475364685, 0.04094706475734711, 0.04098593443632126, 0.04081963002681732, 0.04067588597536087, 0.040576912462711334, 0.040762994438409805];[0.1308455765247345, 0.06338026374578476, 0.06424514204263687, 0.05839797109365463, 0.05473647266626358, 0.052901819348335266, 0.052882324904203415, 0.052360840141773224, 0.05208775773644447, 0.051767006516456604, 0.0506611093878746, 0.05184054374694824, 0.04888773709535599, 0.05096122622489929, 0.049712881445884705, 0.047864701598882675, 0.04858114942908287, 0.04897066950798035, 0.047774650156497955, 0.048859771341085434, 0.049345713108778, 0.04885013401508331, 0.0490763783454895, 0.04753560200333595, 0.048613570630550385, 0.0475790910422802, 0.048905178904533386, 0.04797155410051346, 0.04741666093468666, 0.04827624559402466, 0.046540699899196625, 0.04878605157136917, 0.046330392360687256, 0.04645850881934166, 0.04720614477992058, 0.04893413186073303, 0.04813164100050926, 0.04790200665593147, 0.04850497841835022, 0.04718476161360741, 0.04977365955710411, 0.04590931534767151, 0.047769755125045776, 0.04926249012351036, 0.045760378241539, 0.04733080044388771, 0.04647761583328247, 0.049371059983968735, 0.04702744632959366, 0.046670686453580856]
DCCNN_Model_8;[(168, 6), 24, 128, 3, 3, [1, 2, 4, 8, 16, 32, 64]];24;168;256;50;502944.1878183299;709.1855806615994;0.07771896774373692;366.71419192631816;0.2865286309214101;560776.0832299961;748.8498402416843;0.0831131898159472;394.7287608083968;0.2734268580065544;[0.13737308979034424, 0.07387864589691162, 0.05850154533982277, 0.05455039069056511, 0.05156981945037842, 0.04941939562559128, 0.04794217273592949, 0.046933647245168686, 0.04592005908489227, 0.04562951251864433, 0.04500379413366318, 0.044455911964178085, 0.04434415325522423, 0.04396992549300194, 0.04369454085826874, 0.043716829270124435, 0.043665338307619095, 0.04352035000920296, 0.04321179538965225, 0.04324040561914444, 0.042863816022872925, 0.04297982156276703, 0.0429253913462162, 0.04286811500787735, 0.042645346373319626, 0.04245138540863991, 0.04244452714920044, 0.04242511838674545, 0.04222610965371132, 0.0423431321978569, 0.04229111224412918, 0.04238570109009743, 0.042318735271692276, 0.04197751358151436, 0.04200882092118263, 0.04194469377398491, 0.041943904012441635, 0.04200976341962814, 0.04196690022945404, 0.04201501980423927, 0.041888199746608734, 0.041783109307289124, 0.04168342426419258, 0.042016033083200455, 0.04187137261033058, 0.04164405167102814, 0.04181715101003647, 0.04158764332532883, 0.04178278148174286, 0.041577208787202835];[0.1215910017490387, 0.07724393904209137, 0.061144907027482986, 0.062415920197963715, 0.05725206807255745, 0.05671656131744385, 0.05995336174964905, 0.055802784860134125, 0.052763454616069794, 0.05040721222758293, 0.05306814983487129, 0.051720935851335526, 0.053069818764925, 0.05087703466415405, 0.051022738218307495, 0.04952138289809227, 0.04918745532631874, 0.04889776185154915, 0.0515221543610096, 0.048970066010951996, 0.04836003854870796, 0.048763588070869446, 0.05240379646420479, 0.049332909286022186, 0.0486094169318676, 0.04685603082180023, 0.048628345131874084, 0.04769941419363022, 0.04860207065939903, 0.04907027631998062, 0.046969570219516754, 0.04702199995517731, 0.04867028817534447, 0.049310315400362015, 0.049328211694955826, 0.04936894029378891, 0.046655815094709396, 0.04684371128678322, 0.048088785260915756, 0.047753386199474335, 0.04694020748138428, 0.04724676162004471, 0.04726441577076912, 0.051240768283605576, 0.0467849038541317, 0.04746636375784874, 0.04954608902335167, 0.04966013506054878, 0.046585388481616974, 0.04746270552277565]
DCCNN_Model_9;[(168, 6), 24, 128, 3, 4, [1, 2, 4, 8, 16]];24;168;256;50;562902.000370803;750.2679523815495;0.08222114546647118;391.683902028084;0.30603847539288065;642647.6591667506;801.653079060232;0.08897370466817225;425.7642844761534;0.2949250272954699;[0.1453104168176651, 0.11738590151071548, 0.0848127156496048, 0.0590970478951931, 0.053841326385736465, 0.051016051322221756, 0.04899105057120323, 0.047515545040369034, 0.04678209498524666, 0.04618500918149948, 0.045751169323921204, 0.04557757452130318, 0.04516168683767319, 0.044831283390522, 0.04469746723771095, 0.04451332241296768, 0.04471511393785477, 0.0440988726913929, 0.044064369052648544, 0.04425416886806488, 0.04395473748445511, 0.04377875477075577, 0.04365153983235359, 0.043894052505493164, 0.04371542111039162, 0.04381392151117325, 0.043516263365745544, 0.04360406845808029, 0.043558813631534576, 0.04339323192834854, 0.04346613585948944, 0.043214622884988785, 0.04321688413619995, 0.04309719055891037, 0.04325458034873009, 0.04342241957783699, 0.042953312397003174, 0.04289836436510086, 0.042824141681194305, 0.0429002083837986, 0.04291965067386627, 0.042836640030145645, 0.042912807315588, 0.04279442876577377, 0.04283647984266281, 0.042854681611061096, 0.04286261275410652, 0.042853377759456635, 0.04272543266415596, 0.042759962379932404];[0.1680304855108261, 0.15846826136112213, 0.07591583579778671, 0.06159443408250809, 0.061766739934682846, 0.059616923332214355, 0.05657457932829857, 0.0567614808678627, 0.05553404986858368, 0.055215246975421906, 0.05582123622298241, 0.05571666359901428, 0.055647458881139755, 0.052584707736968994, 0.05609313026070595, 0.05291314423084259, 0.05369197949767113, 0.05506690964102745, 0.05185093730688095, 0.05252256616950035, 0.05301757901906967, 0.05398954823613167, 0.05388735979795456, 0.051906369626522064, 0.056864913552999496, 0.05310880392789841, 0.051350366324186325, 0.051606833934783936, 0.05639970302581787, 0.05477637052536011, 0.05188353359699249, 0.05321064591407776, 0.052350014448165894, 0.05177856609225273, 0.05046621710062027, 0.050624169409275055, 0.05322454124689102, 0.052290793508291245, 0.05084143579006195, 0.05048811435699463, 0.050458427518606186, 0.05326034873723984, 0.050082236528396606, 0.05228471755981445, 0.050160061568021774, 0.051243070513010025, 0.05089140683412552, 0.05148022994399071, 0.05486195161938667, 0.05273044481873512]
DCCNN_Model_10;[(168, 6), 24, 128, 3, 4, [1, 2, 4, 8, 16, 32]];24;168;256;50;498518.11445363297;706.0581523172386;0.07737623587038231;370.1643879023846;0.28922440859022613;547192.4981841687;739.7246096921264;0.08210040063175654;397.7784403778218;0.27553935748819064;[0.1346515268087387, 0.06848432868719101, 0.05745609477162361, 0.05328434705734253, 0.051145039498806, 0.049080681055784225, 0.04791630804538727, 0.046957023441791534, 0.0459737628698349, 0.045689135789871216, 0.04497919976711273, 0.04445195570588112, 0.04422766715288162, 0.044270846992731094, 0.04382124915719032, 0.04392934590578079, 0.04340282082557678, 0.043282926082611084, 0.043139830231666565, 0.04315575957298279, 0.04301205649971962, 0.04279738664627075, 0.042870309203863144, 0.04295460507273674, 0.04257688298821449, 0.0425824299454689, 0.042556680738925934, 0.04225125163793564, 0.042303405702114105, 0.042259566485881805, 0.04225490987300873, 0.04220777004957199, 0.04206008464097977, 0.04188242927193642, 0.0419403538107872, 0.04193795844912529, 0.041871022433042526, 0.04199457913637161, 0.0417005829513073, 0.04182436317205429, 0.04153144359588623, 0.04162009432911873, 0.041639555245637894, 0.04163559898734093, 0.04159929230809212, 0.04146920517086983, 0.04128861054778099, 0.04146264120936394, 0.04109653830528259, 0.04122425615787506];[0.10069731622934341, 0.07303157448768616, 0.06413932889699936, 0.059533555060625076, 0.058520518243312836, 0.058599889278411865, 0.05613536760210991, 0.05537554994225502, 0.05237967148423195, 0.05362263321876526, 0.05305611342191696, 0.05584925040602684, 0.05110263079404831, 0.05125368386507034, 0.05222159996628761, 0.05308707430958748, 0.051971737295389175, 0.049847252666950226, 0.049926236271858215, 0.05055026337504387, 0.050864484161138535, 0.05038899928331375, 0.04920615628361702, 0.05013517662882805, 0.04989444091916084, 0.04928726702928543, 0.04911574348807335, 0.04864247888326645, 0.05091413855552673, 0.0502273291349411, 0.04865584522485733, 0.04918927326798439, 0.048096295446157455, 0.049159128218889236, 0.05072002857923508, 0.048202019184827805, 0.04795112460851669, 0.049304619431495667, 0.04885345324873924, 0.04966531693935394, 0.04878668487071991, 0.04867880046367645, 0.0469527505338192, 0.04920782893896103, 0.0495821014046669, 0.047679074108600616, 0.050014667212963104, 0.04949430376291275, 0.04852098971605301, 0.04971451684832573]
DCCNN_Model_11;[(168, 6), 24, 128, 3, 4, [1, 2, 4, 8, 16, 32, 64]];24;168;256;50;495722.91897043504;704.0759326737672;0.07715900632041284;363.51397925406667;0.2840281753191306;540628.6307083372;735.274527444231;0.08160649583176814;387.3432901294638;0.26831097529634973;[0.14660236239433289, 0.07286398112773895, 0.058586280792951584, 0.054189156740903854, 0.05166749283671379, 0.049582455307245255, 0.047806140035390854, 0.046611297875642776, 0.04612104222178459, 0.0452038012444973, 0.04480691999197006, 0.04447251930832863, 0.04444604367017746, 0.04399188235402107, 0.043794795870780945, 0.04378413408994675, 0.0436783991754055, 0.0433683767914772, 0.04333848878741264, 0.0432579480111599, 0.043037623167037964, 0.04279712587594986, 0.042813897132873535, 0.04262449964880943, 0.04261421039700508, 0.04243028536438942, 0.042497795075178146, 0.04243868589401245, 0.042270880192518234, 0.04215609282255173, 0.04218180477619171, 0.04231615737080574, 0.0422423854470253, 0.04188508912920952, 0.042040374130010605, 0.042015332728624344, 0.041975826025009155, 0.04176010936498642, 0.04180967062711716, 0.04185199737548828, 0.04173856973648071, 0.04181808605790138, 0.04167947545647621, 0.041553087532520294, 0.04173584282398224, 0.04168440401554108, 0.04138575494289398, 0.04174482077360153, 0.04148576408624649, 0.0414377897977829];[0.12008913606405258, 0.07242202758789062, 0.06547651439905167, 0.06168975681066513, 0.05521313473582268, 0.05437023192644119, 0.05464724078774452, 0.0512886606156826, 0.05384138599038124, 0.05038617551326752, 0.05091070011258125, 0.05070919916033745, 0.05132631957530975, 0.04856792092323303, 0.05022371560335159, 0.04948793724179268, 0.05017630010843277, 0.050485674291849136, 0.04799487814307213, 0.05181070417165756, 0.049614910036325455, 0.04821467772126198, 0.05065152049064636, 0.04798092693090439, 0.047496259212493896, 0.048119254410266876, 0.050699420273303986, 0.049681827425956726, 0.04909004271030426, 0.047935228794813156, 0.047864023596048355, 0.04681840538978577, 0.047925833612680435, 0.051395483314991, 0.04753349721431732, 0.047408558428287506, 0.048767682164907455, 0.04899086803197861, 0.046097539365291595, 0.04611939936876297, 0.048897162079811096, 0.0484088659286499, 0.046376220881938934, 0.047493934631347656, 0.04671262949705124, 0.04743608087301254, 0.04755121096968651, 0.04579343646764755, 0.04763170704245567, 0.04778915271162987]
DCCNN_Model_12;[(168, 6), 24, 128, 4, 3, [1, 2, 4, 8, 16]];24;168;256;50;507709.8847670058;712.5376374388975;0.07808631643166;370.76469829153183;0.2896934553784803;558556.4596689111;747.3663490343347;0.08294854040336679;397.6924533037541;0.27547979462420435;[0.1394863873720169, 0.08432288467884064, 0.05947185307741165, 0.0542755052447319, 0.05132748931646347, 0.04903990402817726, 0.04793720319867134, 0.04698707163333893, 0.04628274217247963, 0.045720770955085754, 0.04545168951153755, 0.04501320794224739, 0.04454437270760536, 0.04414000362157822, 0.04420933872461319, 0.043862294405698776, 0.04358350858092308, 0.04337403550744057, 0.04309080168604851, 0.042995043098926544, 0.04291114956140518, 0.043222710490226746, 0.042844511568546295, 0.04281814768910408, 0.042733680456876755, 0.04256894439458847, 0.042541611939668655, 0.042434513568878174, 0.04224034771323204, 0.04259286820888519, 0.04223917797207832, 0.04192274436354637, 0.04207533225417137, 0.04224809631705284, 0.04222900792956352, 0.04204476624727249, 0.042275235056877136, 0.041898805648088455, 0.04191861301660538, 0.04175882041454315, 0.04186234995722771, 0.041741352528333664, 0.04177559167146683, 0.041857797652482986, 0.04148251563310623, 0.04195597022771835, 0.041802167892456055, 0.04157630354166031, 0.041477467864751816, 0.04143350571393967];[0.1648894101381302, 0.07382018864154816, 0.06494808942079544, 0.05969282239675522, 0.05926121398806572, 0.05654417350888252, 0.05719224736094475, 0.05584472045302391, 0.0566420741379261, 0.05365050211548805, 0.05495844781398773, 0.05228105187416077, 0.05279816687107086, 0.052376143634319305, 0.051491182297468185, 0.05029696598649025, 0.05104393884539604, 0.051302969455718994, 0.04933954030275345, 0.05129825323820114, 0.04995978996157646, 0.053062424063682556, 0.050528720021247864, 0.04910479485988617, 0.05109447240829468, 0.05115438625216484, 0.05088638514280319, 0.052584417164325714, 0.04928266629576683, 0.05115684121847153, 0.051206231117248535, 0.05200095474720001, 0.04866700991988182, 0.04699783772230148, 0.048253051936626434, 0.04871315881609917, 0.052065156400203705, 0.048259567469358444, 0.048733003437519073, 0.04852648451924324, 0.04875307157635689, 0.048807621002197266, 0.0490226186811924, 0.04854624718427658, 0.047629695385694504, 0.0479617640376091, 0.048464544117450714, 0.04909519478678703, 0.05033096298575401, 0.05161355435848236]
