MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;wape;val_mse;val_rmse;val_nrmse;val_mae;val_wape;loss;val_loss
DC_CNN_LSTM_Model3;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32], 32, 1, 0];24;168;256;50;479374.9605344257;692.3690927059249;0.07587606495407397;354.1387083134182;0.27670289692444816;496153.77530533465;704.3818391365118;0.07817778458784815;369.8079314604638;0.25616431029260556;[0.10630644112825394, 0.06197908893227577, 0.05499374493956566, 0.05181228742003441, 0.049382343888282776, 0.047828175127506256, 0.04641587287187576, 0.045626312494277954, 0.044472835958004, 0.04375745728611946, 0.04311357066035271, 0.04256138950586319, 0.04210720211267471, 0.04182295873761177, 0.04143870621919632, 0.04128881171345711, 0.04109754040837288, 0.04077697917819023, 0.04039740562438965, 0.04022163152694702, 0.0402090959250927, 0.040103036910295486, 0.03981078788638115, 0.039763469249010086, 0.03970300778746605, 0.03947613760828972, 0.039083365350961685, 0.03905318304896355, 0.039094384759664536, 0.03900652378797531, 0.03879700228571892, 0.03853430226445198, 0.03856731951236725, 0.03861059993505478, 0.03866530582308769, 0.03861154243350029, 0.03844243660569191, 0.038281191140413284, 0.038212355226278305, 0.03812726214528084, 0.037973802536726, 0.038105547428131104, 0.037882477045059204, 0.03781510889530182, 0.03786953538656235, 0.03786301240324974, 0.0376693494617939, 0.037664249539375305, 0.0375843308866024, 0.037632137537002563];[0.07546192407608032, 0.0590369813144207, 0.05952547490596771, 0.06272992491722107, 0.05737912654876709, 0.05425383150577545, 0.052517905831336975, 0.051418133080005646, 0.04909363389015198, 0.04938911646604538, 0.04821964353322983, 0.047495219856500626, 0.047620248049497604, 0.0493021085858345, 0.048272017389535904, 0.04643553867936134, 0.04668049514293671, 0.04691873863339424, 0.044781412929296494, 0.045711297541856766, 0.047033123672008514, 0.0462854765355587, 0.04428020492196083, 0.04592477157711983, 0.04467181861400604, 0.046037834137678146, 0.04502568021416664, 0.046109773218631744, 0.043509360402822495, 0.04513131082057953, 0.04479266703128815, 0.045169491320848465, 0.0455392450094223, 0.043178290128707886, 0.045042674988508224, 0.04631509259343147, 0.044261813163757324, 0.04475996270775795, 0.044411178678274155, 0.04399567469954491, 0.04535771533846855, 0.04692177101969719, 0.04348749667406082, 0.04408293589949608, 0.0438125878572464, 0.043523531407117844, 0.0461137555539608, 0.043576039373874664, 0.04513587802648544, 0.045354243367910385]
DC_CNN_LSTM_Model4;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32], 64, 1, 0];24;168;256;50;504776.1234260915;710.4759837081698;0.07786038177623779;359.72017550934123;0.2810639230024951;529679.9459525179;727.7911417106682;0.08077593137743265;379.554497452365;0.2629157132308188;[0.11007349193096161, 0.060557201504707336, 0.05338215455412865, 0.05026421323418617, 0.04772717505693436, 0.045778047293424606, 0.0443035364151001, 0.04346434772014618, 0.04256583750247955, 0.04185015708208084, 0.04151855409145355, 0.04102277755737305, 0.04072056710720062, 0.04066503047943115, 0.04016932472586632, 0.040216412395238876, 0.040054384618997574, 0.0395815372467041, 0.03949823975563049, 0.03915867954492569, 0.039116181433200836, 0.03920896723866463, 0.038922689855098724, 0.038903214037418365, 0.038608383387327194, 0.03858768567442894, 0.0385672003030777, 0.038400616496801376, 0.038365043699741364, 0.03820338472723961, 0.037857647985219955, 0.037538278847932816, 0.03740088641643524, 0.037583690136671066, 0.03746329993009567, 0.03736516460776329, 0.03727079927921295, 0.03731616586446762, 0.03698834776878357, 0.03676464408636093, 0.036757756024599075, 0.03645658865571022, 0.036570873111486435, 0.03636256232857704, 0.036338113248348236, 0.03635159879922867, 0.03634410724043846, 0.036170151084661484, 0.03621325641870499, 0.03619232401251793];[0.0861191600561142, 0.06203590705990791, 0.05555711314082146, 0.0530247762799263, 0.05197390541434288, 0.051941707730293274, 0.05164909362792969, 0.04995360225439072, 0.051956530660390854, 0.04888423532247543, 0.04900714382529259, 0.0469883568584919, 0.050526827573776245, 0.04567301645874977, 0.04824694246053696, 0.05067799985408783, 0.04834839701652527, 0.0455230250954628, 0.04814606532454491, 0.04494181647896767, 0.04519165679812431, 0.04492935165762901, 0.044007204473018646, 0.044469255954027176, 0.04606470838189125, 0.04455220326781273, 0.046157754957675934, 0.04414497688412666, 0.046026572585105896, 0.046923235058784485, 0.046837251633405685, 0.04726396128535271, 0.04727703332901001, 0.0478358156979084, 0.04976698383688927, 0.0482550784945488, 0.048993878066539764, 0.04682778939604759, 0.048557549715042114, 0.0486767552793026, 0.047569166868925095, 0.049284182488918304, 0.04844510182738304, 0.047942109405994415, 0.05010614171624184, 0.05076133459806442, 0.05066812038421631, 0.0474889799952507, 0.04939424619078636, 0.050944019109010696]
DC_CNN_LSTM_Model5;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32], 128, 1, 0];24;168;256;50;520115.09825201286;721.1900569558712;0.07903452678968452;357.9802400948588;0.2797044410866616;537902.7988868009;733.4185700449648;0.08140050721919698;378.3445995222467;0.26207762231273274;[0.10752831399440765, 0.06242124363780022, 0.054587285965681076, 0.05159476399421692, 0.04914063215255737, 0.046681296080350876, 0.04526805132627487, 0.04383386671543121, 0.042862605303525925, 0.04192129895091057, 0.04148052632808685, 0.041064612567424774, 0.040297575294971466, 0.04020173102617264, 0.0397341214120388, 0.03952635079622269, 0.039289481937885284, 0.03899477794766426, 0.03890729695558548, 0.038370952010154724, 0.03812436759471893, 0.03819621726870537, 0.03772275894880295, 0.037563811987638474, 0.037189267575740814, 0.03687962144613266, 0.03731787949800491, 0.03717785328626633, 0.03688306733965874, 0.036562152206897736, 0.03586933761835098, 0.035674840211868286, 0.03562730923295021, 0.0353250578045845, 0.035485055297613144, 0.03580418974161148, 0.03484052047133446, 0.034165576100349426, 0.03368691727519035, 0.03332757204771042, 0.03331049904227257, 0.03309028595685959, 0.033273883163928986, 0.03231494501233101, 0.031745605170726776, 0.03207520395517349, 0.03129628673195839, 0.031320128589868546, 0.030563948675990105, 0.03025786206126213];[0.0838252380490303, 0.06093410402536392, 0.05848636105656624, 0.056249938905239105, 0.05725981667637825, 0.049693286418914795, 0.05279193073511124, 0.05012296140193939, 0.05103062465786934, 0.050518013536930084, 0.04679792746901512, 0.0506829172372818, 0.048797741532325745, 0.04630498215556145, 0.046003106981515884, 0.047108326107263565, 0.0458117239177227, 0.04543393477797508, 0.04710393771529198, 0.04622524231672287, 0.047526098787784576, 0.04638249799609184, 0.049582358449697495, 0.04677010700106621, 0.04737900197505951, 0.0449230931699276, 0.047067973762750626, 0.046168189495801926, 0.04732734337449074, 0.046067748218774796, 0.04902822896838188, 0.04726133123040199, 0.05056331679224968, 0.04396072030067444, 0.04880344867706299, 0.045741137117147446, 0.04858968034386635, 0.04770345985889435, 0.04671512171626091, 0.049089591950178146, 0.0484190434217453, 0.04797445610165596, 0.04909069091081619, 0.047465287148952484, 0.04900766536593437, 0.047781310975551605, 0.0484917052090168, 0.048954274505376816, 0.04837537184357643, 0.04908867925405502]
DC_CNN_LSTM_Model6;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32, 64], 32, 1, 0];24;168;256;50;492863.1136273539;702.0421024606387;0.07693612081760424;359.05682187644555;0.28054561797794203;510852.96850582265;714.7397907671174;0.07932739076216619;374.4730701399427;0.25939583111891273;[0.10955536365509033, 0.06086455658078194, 0.05476471036672592, 0.05145234242081642, 0.049063075333833694, 0.04723542183637619, 0.046109795570373535, 0.04487992078065872, 0.044082675129175186, 0.04348858818411827, 0.0426395907998085, 0.042517583817243576, 0.042043499648571014, 0.04195740446448326, 0.04135764017701149, 0.04127683490514755, 0.04094265028834343, 0.040797602385282516, 0.040682099759578705, 0.0404161773622036, 0.04015021771192551, 0.04005786031484604, 0.0400201790034771, 0.03988945484161377, 0.03977733477950096, 0.03956291824579239, 0.03946543484926224, 0.03914856165647507, 0.03931022062897682, 0.039239704608917236, 0.0392097532749176, 0.03890378773212433, 0.03883969783782959, 0.03870982676744461, 0.03867451846599579, 0.0386928953230381, 0.03858539089560509, 0.03844909369945526, 0.038469284772872925, 0.03822038322687149, 0.038449373096227646, 0.038170021027326584, 0.038198068737983704, 0.03803805261850357, 0.037771303206682205, 0.03782559931278229, 0.0377470962703228, 0.03770311549305916, 0.03769751265645027, 0.03752148896455765];[0.07173943519592285, 0.0602954737842083, 0.05783027783036232, 0.05507184565067291, 0.055354923009872437, 0.05137276649475098, 0.052763890475034714, 0.047684140503406525, 0.04718855023384094, 0.04890977218747139, 0.0487876832485199, 0.04819810763001442, 0.04572689160704613, 0.04714808613061905, 0.04596409574151039, 0.04609158635139465, 0.04648933559656143, 0.044263023883104324, 0.04674055054783821, 0.047193583101034164, 0.04483959823846817, 0.04506108909845352, 0.04428291693329811, 0.04436808452010155, 0.043996889144182205, 0.043733224272727966, 0.044505540281534195, 0.04514100030064583, 0.04563736915588379, 0.04528314992785454, 0.046129077672958374, 0.04665420204401016, 0.04530757665634155, 0.046955741941928864, 0.04675938934087753, 0.04390648752450943, 0.04548507556319237, 0.04602875933051109, 0.04688940942287445, 0.04637463763356209, 0.04725288972258568, 0.04731757938861847, 0.04577202722430229, 0.04711797833442688, 0.047963667660951614, 0.04809056967496872, 0.04677380248904228, 0.04803138226270676, 0.045944977551698685, 0.04540035128593445]
DC_CNN_LSTM_Model7;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32, 64], 64, 1, 0];24;168;256;50;481724.5103962972;694.0637653676333;0.07606178250604201;351.72798748297106;0.27481930323135073;502468.19913574075;708.8499129828124;0.07867368623560626;368.6762583150937;0.25538040533519824;[0.10699277371168137, 0.06112299859523773, 0.05403465777635574, 0.05101617053151131, 0.04874533787369728, 0.046886201947927475, 0.045478615909814835, 0.04443647712469101, 0.04352645203471184, 0.04285825043916702, 0.04222889617085457, 0.042107559740543365, 0.041177429258823395, 0.04106605052947998, 0.04047343507409096, 0.04031640291213989, 0.04017246887087822, 0.03986348584294319, 0.03949424996972084, 0.039354633539915085, 0.03932848945260048, 0.03916742652654648, 0.038842570036649704, 0.03869219496846199, 0.038523461669683456, 0.038492605090141296, 0.038397014141082764, 0.03817771375179291, 0.03809738904237747, 0.03792692720890045, 0.03795323148369789, 0.037662703543901443, 0.03742049261927605, 0.03736043721437454, 0.037357814610004425, 0.03705797344446182, 0.03693998232483864, 0.0367613323032856, 0.036642830818891525, 0.03650699183344841, 0.03652596473693848, 0.03618362918496132, 0.036153148859739304, 0.03601759299635887, 0.03552567958831787, 0.035364389419555664, 0.035458654165267944, 0.035239167511463165, 0.03512722998857498, 0.03475107625126839];[0.0794602483510971, 0.0622168704867363, 0.060297511518001556, 0.05601147189736366, 0.05260974541306496, 0.049975767731666565, 0.052623845636844635, 0.047560520470142365, 0.04861317202448845, 0.04784782975912094, 0.0460757277905941, 0.04690912738442421, 0.04677143692970276, 0.04590880498290062, 0.046978965401649475, 0.04647437855601311, 0.04407316446304321, 0.044298045337200165, 0.04482472687959671, 0.04889489710330963, 0.04303674399852753, 0.04603273794054985, 0.04403741657733917, 0.044668637216091156, 0.04767344892024994, 0.04647350683808327, 0.04612403362989426, 0.04744022339582443, 0.04578213766217232, 0.045485012233257294, 0.04767417907714844, 0.047898728400468826, 0.047977548092603683, 0.046465687453746796, 0.04610032960772514, 0.048276349902153015, 0.04775455221533775, 0.04828751087188721, 0.047908518463373184, 0.046579696238040924, 0.04851752519607544, 0.04838285967707634, 0.04838147014379501, 0.05033430457115173, 0.04920624941587448, 0.04806677624583244, 0.04895463213324547, 0.04847761243581772, 0.04831182211637497, 0.049269821494817734]
DC_CNN_LSTM_Model8;[(168, 6), 24, 128, 2, 3, [1, 2, 4, 8, 16, 32, 64], 128, 1, 0];24;168;256;50;510465.6558109321;714.4687927481033;0.0782979498902031;357.36399106836626;0.27922294079636734;553182.8099014409;743.7626031883028;0.08254856861135436;383.5192155647165;0.2656620558437102;[0.10698160529136658, 0.06131759658455849, 0.05459432303905487, 0.05108833685517311, 0.048832837492227554, 0.04682115465402603, 0.04521828889846802, 0.043776944279670715, 0.042973246425390244, 0.04223836213350296, 0.0417896993458271, 0.04140416905283928, 0.04057348147034645, 0.040308792144060135, 0.039748720824718475, 0.03947576880455017, 0.039341218769550323, 0.03912163898348808, 0.03882288187742233, 0.03842407092452049, 0.0384318009018898, 0.03791714459657669, 0.0377667210996151, 0.03769818693399429, 0.03777468577027321, 0.03718896582722664, 0.03696295619010925, 0.03692613169550896, 0.0365256704390049, 0.03640759736299515, 0.03615797311067581, 0.03601408749818802, 0.035602252930402756, 0.035438988357782364, 0.03507823124527931, 0.03522026911377907, 0.03483551740646362, 0.03480818495154381, 0.034485429525375366, 0.03384338319301605, 0.034108132123947144, 0.033508192747831345, 0.03323635831475258, 0.03309662640094757, 0.03250593692064285, 0.03210838511586189, 0.03184663876891136, 0.031594645231962204, 0.03118010424077511, 0.030619105324149132];[0.07220422476530075, 0.06608368456363678, 0.062312979251146317, 0.06217583268880844, 0.05306614562869072, 0.051417332142591476, 0.05038131773471832, 0.04926688224077225, 0.049307022243738174, 0.051916658878326416, 0.046787817031145096, 0.04785769432783127, 0.0476209856569767, 0.04729146137833595, 0.0470878966152668, 0.048296667635440826, 0.048338163644075394, 0.047930002212524414, 0.04655022919178009, 0.04449198395013809, 0.04733143374323845, 0.048810336738824844, 0.049457624554634094, 0.049223948270082474, 0.049628373235464096, 0.04834218695759773, 0.05176215246319771, 0.04977073892951012, 0.05153907090425491, 0.051750872284173965, 0.04770087078213692, 0.05176325887441635, 0.05018044635653496, 0.05186893045902252, 0.050685059279203415, 0.051569633185863495, 0.05133134126663208, 0.05207962170243263, 0.05072605237364769, 0.051298484206199646, 0.05224921926856041, 0.04928086698055267, 0.05071486532688141, 0.05157334730029106, 0.05163395032286644, 0.05320277810096741, 0.051919788122177124, 0.05282647907733917, 0.05128253623843193, 0.05290331691503525]
DC_CNN_LSTM_Model12;[(168, 6), 24, 128, 2, 4, [1, 2, 4, 8, 16, 32], 32, 1, 0];24;168;256;50;481129.30627244833;693.6348508202628;0.0760147781720836;350.81188846444013;0.2741035180140149;510196.62348055583;714.2804935601671;0.07927641437959679;369.52304084027975;0.2559669678263689;[0.11961119621992111, 0.062086284160614014, 0.05427258834242821, 0.05087371543049812, 0.04846886172890663, 0.04695569723844528, 0.04558957740664482, 0.04467396065592766, 0.04367293417453766, 0.042712680995464325, 0.042252250015735626, 0.041761983186006546, 0.041218649595975876, 0.041172415018081665, 0.04078155755996704, 0.04055885970592499, 0.040247853845357895, 0.04027169197797775, 0.04004283994436264, 0.03984946385025978, 0.0395362414419651, 0.03973979875445366, 0.03971979022026062, 0.0395287424325943, 0.03925419598817825, 0.03915391489863396, 0.0392947681248188, 0.03920898586511612, 0.03898340463638306, 0.03890866041183472, 0.03892553970217705, 0.03882293775677681, 0.03881658613681793, 0.038591932505369186, 0.03855722025036812, 0.038564544171094894, 0.03858502209186554, 0.038286276161670685, 0.038238100707530975, 0.038443174213171005, 0.038262989372015, 0.03812959045171738, 0.03791767731308937, 0.03812340274453163, 0.03819706663489342, 0.03808125481009483, 0.038002051413059235, 0.03813141584396362, 0.037906184792518616, 0.037921104580163956];[0.08857521414756775, 0.06009805575013161, 0.06436673551797867, 0.05504801124334335, 0.05233047157526016, 0.05157075822353363, 0.052347443997859955, 0.051360033452510834, 0.05042393505573273, 0.05038655549287796, 0.04890746995806694, 0.046876031905412674, 0.04771895706653595, 0.04635507985949516, 0.047469716519117355, 0.04553738981485367, 0.0455913320183754, 0.04565460607409477, 0.04611536115407944, 0.045487888157367706, 0.04562119394540787, 0.04455774277448654, 0.04448792338371277, 0.04480816796422005, 0.04663246497511864, 0.043957266956567764, 0.043272964656353, 0.047057054936885834, 0.04394372180104256, 0.04580068215727806, 0.04411178454756737, 0.044428493827581406, 0.04493590071797371, 0.046042442321777344, 0.04362938925623894, 0.04356357827782631, 0.04466744512319565, 0.045085351914167404, 0.04467686638236046, 0.043726880103349686, 0.04600415751338005, 0.0444694384932518, 0.047065529972314835, 0.0446077324450016, 0.04301551356911659, 0.04586677625775337, 0.04323066398501396, 0.044637713581323624, 0.044763099402189255, 0.04412812367081642]
DC_CNN_LSTM_Model13;[(168, 6), 24, 128, 2, 4, [1, 2, 4, 8, 16, 32], 64, 1, 0];24;168;256;50;491889.1400415551;701.348087643757;0.07686006439931584;354.1340543293003;0.2766992605784136;519639.11408197484;720.8599823002903;0.08000665730302889;373.4798917825057;0.2587078608854847;[0.11460264772176743, 0.061141714453697205, 0.05357159301638603, 0.050237152725458145, 0.04785630851984024, 0.046185415238142014, 0.04476071521639824, 0.04390363767743111, 0.04275126755237579, 0.04231216013431549, 0.04191794618964195, 0.04115923121571541, 0.040858399122953415, 0.04062682390213013, 0.04039529338479042, 0.03993678838014603, 0.03983168676495552, 0.039788879454135895, 0.03981117904186249, 0.03950517624616623, 0.03923860192298889, 0.03935077786445618, 0.03912649676203728, 0.03899307921528816, 0.038676273077726364, 0.03875042125582695, 0.03862149268388748, 0.038263365626335144, 0.03846411406993866, 0.03841526806354523, 0.03815966472029686, 0.0378953255712986, 0.0379270501434803, 0.037824831902980804, 0.03765898197889328, 0.03738166019320488, 0.03760603442788124, 0.03737024962902069, 0.03739377111196518, 0.037382081151008606, 0.03669693320989609, 0.03664566949009895, 0.03665595501661301, 0.03650934621691704, 0.03629429638385773, 0.03623281046748161, 0.03571295738220215, 0.035853780806064606, 0.03572315722703934, 0.03534014895558357];[0.08813326805830002, 0.059256412088871, 0.054017484188079834, 0.05215571075677872, 0.052645135670900345, 0.05152728781104088, 0.04889433830976486, 0.04919930174946785, 0.04754602909088135, 0.04736208915710449, 0.04599601402878761, 0.0485580675303936, 0.04909336566925049, 0.04767443239688873, 0.04902886226773262, 0.04653061553835869, 0.045669231563806534, 0.04473939538002014, 0.04714873060584068, 0.04657066985964775, 0.044266585260629654, 0.04460598900914192, 0.044507578015327454, 0.04715336114168167, 0.04635656997561455, 0.04426201432943344, 0.04495038464665413, 0.04345268756151199, 0.045925602316856384, 0.0447722002863884, 0.04428586736321449, 0.04461018741130829, 0.043891631066799164, 0.04824217036366463, 0.04548245295882225, 0.04403682425618172, 0.044203564524650574, 0.045171476900577545, 0.04354739189147949, 0.044774897396564484, 0.04577510058879852, 0.04564456269145012, 0.04429164528846741, 0.045744094997644424, 0.04606667160987854, 0.04772593826055527, 0.046248309314250946, 0.044777002185583115, 0.04563266783952713, 0.04715261608362198]
DC_CNN_LSTM_Model14;[(168, 6), 24, 128, 2, 4, [1, 2, 4, 8, 16, 32], 128, 1, 0];24;168;256;50;529789.1842359329;727.8661856659731;0.07976615733325733;375.1469835915554;0.2931175121370337;550216.358445885;741.7657032014118;0.08232693709227656;388.2497676271745;0.2689388882296386;[0.10767754167318344, 0.062019623816013336, 0.054706402122974396, 0.05106118321418762, 0.04831885173916817, 0.046451542526483536, 0.04492387920618057, 0.043912533670663834, 0.042926035821437836, 0.04240351915359497, 0.041952650994062424, 0.04094139114022255, 0.04046203941106796, 0.04042615368962288, 0.04004991427063942, 0.03974393010139465, 0.03925996646285057, 0.038874056190252304, 0.03871307522058487, 0.03864651173353195, 0.03837624937295914, 0.03768802061676979, 0.037654582411050797, 0.037657614797353745, 0.03711609169840813, 0.0369645431637764, 0.03688216954469681, 0.03639867901802063, 0.036160990595817566, 0.03586237132549286, 0.035697974264621735, 0.03549666330218315, 0.035331279039382935, 0.035028453916311264, 0.03455854952335358, 0.03421191871166229, 0.034449975937604904, 0.033781297504901886, 0.033349424600601196, 0.03321846202015877, 0.03292880579829216, 0.03251215070486069, 0.03211389482021332, 0.03159713372588158, 0.03163808584213257, 0.03123408742249012, 0.03094330057501793, 0.03062274307012558, 0.030298324301838875, 0.029661713168025017];[0.07747454196214676, 0.06041830778121948, 0.05922594293951988, 0.05800258740782738, 0.0538884773850441, 0.05564093962311745, 0.05245983600616455, 0.05143199488520622, 0.04901790991425514, 0.047648195177316666, 0.04968005418777466, 0.04745057597756386, 0.046319328248500824, 0.04755834862589836, 0.0472845695912838, 0.04506727680563927, 0.04660089686512947, 0.04718566685914993, 0.047253869473934174, 0.04873952269554138, 0.04956068471074104, 0.047521427273750305, 0.04869407042860985, 0.047763168811798096, 0.045171596109867096, 0.046511728316545486, 0.04801921918988228, 0.04806895926594734, 0.05057927221059799, 0.04727935418486595, 0.050526365637779236, 0.05065743252635002, 0.05094944313168526, 0.05166523903608322, 0.050990406423807144, 0.050669386982917786, 0.04791614040732384, 0.05331623554229736, 0.04993462190032005, 0.051149070262908936, 0.05185627192258835, 0.04979109764099121, 0.048774607479572296, 0.05241939425468445, 0.05278041586279869, 0.05217079073190689, 0.050205424427986145, 0.05354190617799759, 0.05023624747991562, 0.05066665634512901]
DC_CNN_LSTM_Model15;[(168, 6), 24, 128, 2, 4, [1, 2, 4, 8, 16, 32, 64], 32, 1, 0];24;168;256;50;529843.6841145027;727.903622820015;0.07977026003507014;365.66662598721837;0.28571012528149076;542435.4547255592;736.5021756421085;0.08174274979379673;380.3264286987739;0.2634504265739013;[0.11565854400396347, 0.06061751767992973, 0.05385412275791168, 0.05150112137198448, 0.049360670149326324, 0.04748418182134628, 0.0463368184864521, 0.04527159035205841, 0.044235724955797195, 0.04368431121110916, 0.04303472116589546, 0.042571935802698135, 0.04213274270296097, 0.041858941316604614, 0.041538137942552567, 0.04109794646501541, 0.041009459644556046, 0.04074191302061081, 0.04040046036243439, 0.040360383689403534, 0.0399802140891552, 0.03992311656475067, 0.040107984095811844, 0.039739951491355896, 0.03980076313018799, 0.03946824371814728, 0.03931271657347679, 0.03943128138780594, 0.039319928735494614, 0.039293281733989716, 0.038892049342393875, 0.03898739069700241, 0.03912806510925293, 0.0388542115688324, 0.038622595369815826, 0.038495250046253204, 0.03851163759827614, 0.03859120234847069, 0.03840680047869682, 0.038376059383153915, 0.03834722563624382, 0.038359999656677246, 0.03842974826693535, 0.038156166672706604, 0.0382419228553772, 0.038208529353141785, 0.03814715892076492, 0.03807520121335983, 0.03807074949145317, 0.03801986202597618];[0.08458453416824341, 0.05983167514204979, 0.057353414595127106, 0.05515791103243828, 0.05896398052573204, 0.05559801682829857, 0.051403384655714035, 0.04958208277821541, 0.049016695469617844, 0.04872400313615799, 0.048525210469961166, 0.05041087791323662, 0.04983582720160484, 0.04848001152276993, 0.047765422612428665, 0.04593149945139885, 0.044835660606622696, 0.04621158167719841, 0.04740734398365021, 0.047739751636981964, 0.0458870604634285, 0.045195359736680984, 0.04493441432714462, 0.046800583600997925, 0.046903230249881744, 0.04668409004807472, 0.046830665320158005, 0.04562840238213539, 0.04628940671682358, 0.045855097472667694, 0.044439833611249924, 0.04505704343318939, 0.045115139335393906, 0.045755185186862946, 0.04561889171600342, 0.044859666377305984, 0.0447433739900589, 0.045552801340818405, 0.048188455402851105, 0.04595239832997322, 0.045079030096530914, 0.04564840719103813, 0.047744814306497574, 0.04488476738333702, 0.045014627277851105, 0.04602893814444542, 0.049075037240982056, 0.04468950629234314, 0.044878747314214706, 0.04415807127952576]
